Date,Close
9/25/2006 16:00:00,1.2239
9/26/2006 16:00:00,1.237593
9/27/2006 16:00:00,1.235895
9/28/2006 16:00:00,1.234507
9/29/2006 16:00:00,1.234004
38758.66667,1.237195
38786.66667,1.232195
38817.66667,1.2152
38847.66667,1.208196
38878.66667,1.208605
38970.66667,1.209907
39000.66667,1.201995
39031.66667,1.204906
39061.66667,1.217804
10/13/2006 16:00:00,1.219007
10/16/2006 16:00:00,1.2173
10/17/2006 16:00:00,1.205502
10/18/2006 16:00:00,1.206593
10/19/2006 16:00:00,1.209907
10/20/2006 16:00:00,1.218903
10/23/2006 16:00:00,1.2242
10/24/2006 16:00:00,1.227295
10/25/2006 16:00:00,1.226407
10/26/2006 16:00:00,1.226001
10/27/2006 16:00:00,1.215702
10/30/2006 16:00:00,1.219007
10/31/2006 16:00:00,1.218205
38728.66667,1.217404
38759.66667,1.232894
38787.66667,1.226693
38879.66667,1.227205
38909.66667,1.227596
38940.66667,1.2308
38971.66667,1.232104
39001.66667,1.2337
11/13/2006 16:00:00,1.243394
11/14/2006 16:00:00,1.241496
11/15/2006 16:00:00,1.228999
11/16/2006 16:00:00,1.231603
11/17/2006 16:00:00,1.228094
11/20/2006 16:00:00,1.229906
11/21/2006 16:00:00,1.241003
11/22/2006 16:00:00,1.238405
11/24/2006 16:00:00,1.232104
11/27/2006 16:00:00,1.234903
11/28/2006 16:00:00,1.238896
11/29/2006 16:00:00,1.247894
11/30/2006 16:00:00,1.248907
38729.66667,1.251894
38819.66667,1.257893
38849.66667,1.262005
38880.66667,1.2691
38910.66667,1.281099
38941.66667,1.276503
39033.66667,1.2706
39063.66667,null
12/13/2006 16:00:00,1.279198
12/14/2006 16:00:00,1.2746
12/15/2006 16:00:00,1.272006
12/18/2006 16:00:00,1.282495
12/19/2006 16:00:00,1.2873
12/20/2006 16:00:00,1.296697
12/21/2006 16:00:00,1.290806
12/22/2006 16:00:00,1.289907
12/26/2006 16:00:00,1.288593
12/27/2006 16:00:00,1.291005
12/28/2006 16:00:00,1.297
12/29/2006 16:00:00,1.293996
39142.66667,1.296193
39173.66667,1.303798
39203.66667,1.294901
39295.66667,1.3039
39326.66667,1.304002
39356.66667,1.309706
39387.66667,1.317801
39417.66667,1.325803
1/16/2007 16:00:00,1.329504
1/17/2007 16:00:00,1.326506
1/18/2007 16:00:00,1.329805
1/19/2007 16:00:00,1.334597
1/22/2007 16:00:00,1.326102
1/23/2007 16:00:00,1.346602
1/24/2007 16:00:00,1.339603
1/25/2007 16:00:00,1.343093
1/26/2007 16:00:00,1.334508
1/29/2007 16:00:00,1.330406
1/30/2007 16:00:00,1.321598
1/31/2007 16:00:00,1.332001
39084.66667,1.330902
39115.66667,1.340393
39204.66667,1.3251
39235.66667,1.331292
39265.66667,1.339208
39296.66667,1.336898
39327.66667,1.3391
39418.66667,1.351205
2/13/2007 16:00:00,1.353803
2/14/2007 16:00:00,1.362398
2/15/2007 16:00:00,1.359398
2/16/2007 16:00:00,1.360692
2/20/2007 16:00:00,1.362806
2/21/2007 16:00:00,1.356502
2/22/2007 16:00:00,1.347001
2/23/2007 16:00:00,1.328198
2/26/2007 16:00:00,1.328004
2/27/2007 16:00:00,1.318305
2/28/2007 16:00:00,1.306097
39085.66667,1.310994
39116.66667,1.311699
39205.66667,1.325592
39236.66667,1.321109
39266.66667,1.309895
39297.66667,1.305108
39328.66667,1.301795
39419.66667,1.300306
3/13/2007 16:00:00,1.296294
3/14/2007 16:00:00,1.2999
3/15/2007 16:00:00,1.3039
3/16/2007 16:00:00,1.297101
3/19/2007 16:00:00,1.307805
3/20/2007 16:00:00,1.304104
3/21/2007 16:00:00,1.304495
3/22/2007 16:00:00,1.305193
3/23/2007 16:00:00,1.3039
3/26/2007 16:00:00,1.303203
3/27/2007 16:00:00,1.297202
3/28/2007 16:00:00,1.285793
3/29/2007 16:00:00,1.276406
3/30/2007 16:00:00,1.276992
39117.66667,1.281296
39145.66667,1.287598
39176.66667,1.285694
39206.66667,1.297303
39329.66667,1.301693
39359.66667,1.302304
39390.66667,1.307497
39420.66667,1.306899
4/13/2007 16:00:00,1.306404
4/16/2007 16:00:00,1.326102
4/17/2007 16:00:00,1.320306
4/18/2007 16:00:00,1.318305
4/19/2007 16:00:00,1.324609
4/20/2007 16:00:00,1.321702
4/23/2007 16:00:00,1.317193
4/24/2007 16:00:00,1.313594
4/25/2007 16:00:00,1.310599
4/26/2007 16:00:00,1.324696
4/27/2007 16:00:00,1.322192
4/30/2007 16:00:00,1.335203
39087.66667,1.337703
39118.66667,1.343797
39146.66667,1.347291
39177.66667,1.336505
39268.66667,1.331009
39299.66667,1.341094
39330.66667,1.3379
39360.66667,1.332197
39391.66667,1.316101
5/14/2007 16:00:00,1.307702
5/15/2007 16:00:00,1.299292
5/16/2007 16:00:00,1.293193
5/17/2007 16:00:00,1.295605
5/18/2007 16:00:00,1.289507
5/21/2007 16:00:00,1.293795
5/22/2007 16:00:00,1.291506
5/23/2007 16:00:00,1.296697
5/24/2007 16:00:00,1.290906
5/25/2007 16:00:00,1.285
5/29/2007 16:00:00,1.285793
5/30/2007 16:00:00,1.286703
5/31/2007 16:00:00,1.285
39088.66667,1.293494
39178.66667,1.297101
39208.66667,1.291506
39239.66667,1.291206
39269.66667,1.279492
39300.66667,1.287001
39392.66667,1.301795
39422.66667,1.306506
6/13/2007 16:00:00,1.308695
6/14/2007 16:00:00,1.3047
6/15/2007 16:00:00,1.306199
6/18/2007 16:00:00,1.299393
6/19/2007 16:00:00,1.298499
6/20/2007 16:00:00,1.292107
6/21/2007 16:00:00,1.290506
6/22/2007 16:00:00,1.287598
6/25/2007 16:00:00,1.284604
6/26/2007 16:00:00,1.288693
6/27/2007 16:00:00,1.295001
6/28/2007 16:00:00,1.295605
6/29/2007 16:00:00,1.281197
39120.66667,1.285496
39148.66667,1.288693
39209.66667,1.281394
39240.66667,1.268102
39332.66667,1.261607
39362.66667,1.263999
39393.66667,1.260303
39423.66667,1.268102
7/13/2007 16:00:00,1.263504
7/16/2007 16:00:00,1.255698
7/17/2007 16:00:00,1.257103
7/18/2007 16:00:00,1.256802
7/19/2007 16:00:00,1.259906
7/20/2007 16:00:00,1.251392
7/23/2007 16:00:00,1.258194
7/24/2007 16:00:00,1.248299
7/25/2007 16:00:00,1.2308
7/26/2007 16:00:00,1.219602
7/27/2007 16:00:00,1.226693
7/30/2007 16:00:00,1.223002
7/31/2007 16:00:00,1.226001
39090.66667,1.227898
39121.66667,1.223795
39149.66667,1.222793
39241.66667,1.213695
39271.66667,1.211798
39302.66667,1.202603
39333.66667,1.212195
39363.66667,1.209907
8/13/2007 16:00:00,1.227898
8/14/2007 16:00:00,1.2152
8/15/2007 16:00:00,1.217404
8/16/2007 16:00:00,1.212106
8/17/2007 16:00:00,1.202906
8/20/2007 16:00:00,1.209804
8/21/2007 16:00:00,1.216397
8/22/2007 16:00:00,1.207307
8/23/2007 16:00:00,1.207802
8/24/2007 16:00:00,1.209102
8/27/2007 16:00:00,1.193602
8/28/2007 16:00:00,1.190902
8/29/2007 16:00:00,1.193104
8/30/2007 16:00:00,1.192905
8/31/2007 16:00:00,1.194501
39181.66667,1.198107
39211.66667,1.206899
39242.66667,1.223002
